City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Havre-Saint-Pierre,CA,50.2334,-63.5986,10.99,78,100,11.5,overcast clouds
328,Kimbe,PG,-5.5502,150.1429,76.21,93,100,1.97,overcast clouds
329,Jalu,LY,29.0331,21.5482,57.54,45,86,9.46,overcast clouds
330,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,88,75,5.99,broken clouds
331,Ancud,CL,-41.8697,-73.8203,60.33,67,63,4.0,broken clouds
332,Ferrol,ES,43.4832,-8.2369,54.68,70,8,2.62,clear sky
333,Jiwani,PK,25.05,61.7417,68.22,25,0,6.15,clear sky
334,Erzin,TR,36.9559,36.2,46.92,75,36,6.08,scattered clouds
335,Ban Dung,TH,17.699,103.2596,80.87,38,3,4.32,clear sky
336,Nelson Bay,AU,-32.7167,152.15,73.0,91,100,6.4,overcast clouds
337,Tucuman,AR,-26.8241,-65.2226,75.2,83,75,8.05,broken clouds
338,Dingle,PH,10.9995,122.6711,75.25,92,99,6.69,overcast clouds
339,Matlock,GB,53.1384,-1.5556,40.08,91,6,3.94,clear sky
340,Nacozari,MX,25.3366,-108.2574,47.1,89,22,5.95,few clouds
341,Ramshir,IR,30.8946,49.4092,67.86,32,95,5.7,overcast clouds
342,Cairns,AU,-16.9167,145.7667,78.06,90,100,0.0,overcast clouds
